store_id,store_name,latitude,longitude,city,neighborhood
MTL0,Café Nocturne,45.513585,-73.5729521,Montreal,Le Plateau-Mont-Royal
MTL1,PresoTea,45.5018869,-73.56739189999999,Montreal,Quartier des Spectacles
MTL2,Hansang,45.5197108,-73.5967383,Montreal,Mile-End
MTL3,Restaurant Végo,45.5154587,-73.5646343,Montreal,TOD quartier Berri UQAM
MTL4,Tejano BBQ Burrito (Vieux Montréal),45.5074534,-73.5544177,Montreal,Vieux-Montréal
MTL5,Restaurant Pho Maisonneuve,45.5174403,-73.5588836,Montreal,TOD quartier Berri UQAM
MTL6,Chop Crazy Gare Centrale,45.4999304,-73.5665831,Montreal,Vieux-Montréal
MTL7,Chez anna,45.517529,-73.58109809999999,Montreal,Le Plateau-Mont-Royal
MTL8,Sugar Marmalade,45.4959048,-73.5755065,Montreal,Ville-Marie
MTL9,Sumac,45.4794972,-73.58089439999999,Montreal,Saint-Henri
MTL10,Metro Cellular / SIM Cards,45.510127,-73.554734,Montreal,Quartier Chinois
MTL11,Peel Pub,45.4994033,-73.57194249999999,Montreal,Ville-Marie
MTL12,Eggspectation,45.5018869,-73.56739189999999,Montreal,Quartier des Spectacles
MTL13,Nmenan's Bazaar,45.5018869,-73.56739189999999,Montreal,Quartier des Spectacles
MTL14,Sansalizza,45.51047,-73.5761452,Montreal,Le Plateau-Mont-Royal
MTL15,La mignonette,45.5092681,-73.5631729,Montreal,Quartier des Spectacles
MTL16,Snaxies,45.5190821,-73.5949658,Montreal,Mile-End
MTL17,Hazukido,45.4947621,-73.5785662,Montreal,Ville-Marie
MTL18,MB2GO (1050 Beaver Hall),45.50197180000001,-73.5648776,Montreal,Quartier des Spectacles
MTL19,Royal Biryani Restaurant,45.4959268,-73.57884349999999,Montreal,Ville-Marie
MTL20,Casa Kaizen by Sushi MoMo,45.5250677,-73.5849511,Montreal,Le Plateau-Mont-Royal
MTL21,Jugo Juice,45.5018869,-73.56739189999999,Montreal,Quartier des Spectacles
MTL22,Couche-Tard,45.5018869,-73.56739189999999,Montreal,Quartier des Spectacles
MTL23,Mon Ami,45.5018869,-73.56739189999999,Montreal,Quartier des Spectacles
MTL24,McDonald's,45.5018869,-73.56739189999999,Montreal,Quartier des Spectacles
MTL25,Restaurant District 4,45.5018869,-73.56739189999999,Montreal,Quartier des Spectacles
MTL26,Notre-Boeuf-de-Grâce,45.5018869,-73.56739189999999,Montreal,Quartier des Spectacles
MTL27,Ichiraku Kawaki,45.49480699999999,-73.55776759999999,Montreal,Le Sud-Ouest
MTL28,Magasin Privé,45.4996912,-73.57301100000001,Montreal,Ville-Marie
MTL29,Mai Xiang Yuan Dumpling,45.5082653,-73.560729,Montreal,Quartier Chinois
MTL30,Fiorella,45.5016893,-73.5736656,Montreal,Quartier des Spectacles
MTL31,Rumi,45.5193123,-73.5983517,Montreal,Mile-End
MTL32,Stonefire Pizza,45.5018869,-73.56739189999999,Montreal,Quartier des Spectacles
MTL33,Oh Dumplings,45.5076585,-73.5603842,Montreal,Quartier Chinois
MTL34,Nilufar (Rue Sainte-Catherine O),45.4926782,-73.5808824,Montreal,Ville-Marie
MTL35,The Dumpling Hut,45.5132871,-73.5725563,Montreal,Le Plateau-Mont-Royal
MTL36,Pitarifique,45.5177823,-73.581721,Montreal,Le Plateau-Mont-Royal
MTL37,Kupfert & Kim,45.5018869,-73.56739189999999,Montreal,Quartier des Spectacles
MTL38,Asoo restaurant,45.4961841,-73.5818934,Montreal,Ville-Marie
MTL39,Rockaberry,45.5018869,-73.56739189999999,Montreal,Quartier des Spectacles
