,country_code,city_code,store_name,latitude,longitude,neighborhood
5,IT,ROM,Viva Nachos,41.8967068,12.4822025,Pigna
8,IT,ROM,I Love Burger & much more,41.8967068,12.4822025,Pigna
10,IT,ROM,ODStore,41.8967068,12.4822025,Pigna
11,IT,ROM,FOOLISH SHOP,41.8967068,12.4822025,Pigna
15,IT,ROM,Ham Holy Burger,41.8967068,12.4822025,Pigna
17,IT,ROM,The Second,41.8967068,12.4822025,Pigna
18,IT,ROM,Kathmandu fast food,41.8939882,12.5027381,Esquilino
20,IT,ROM,Burger bubbles,41.8967068,12.4822025,Pigna
21,IT,ROM,Depuravita,41.8967068,12.4822025,Pigna
23,IT,ROM,Kalowry,41.8967068,12.4822025,Pigna
32,IT,ROM,Pollo Arena,41.8995637,12.4751423,Sant'Eustachio
34,IT,ROM,Pokè Burger by Ami Pokè,41.8967068,12.4822025,Pigna
35,IT,ROM,Caffe Washington,41.9007833,12.4968467,Castro Pretorio
36,IT,ROM,Halal indian restaurant,41.8998768,12.50107,Castro Pretorio
39,IT,ROM,Caffetteria Gio,41.8987746,12.4684514,Parione
42,IT,ROM,Ami Pokè,41.8967068,12.4822025,Pigna
43,IT,ROM,Cody Sushi • Pokè,41.8967068,12.4822025,Pigna
44,IT,ROM,California Poke House,41.8967068,12.4822025,Pigna
48,IT,ROM,The Yellow Bar,41.904907,12.5045377,Castro Pretorio
52,IT,ROM,Alice Pizza,41.8967068,12.4822025,Pigna
55,IT,ROM,Americaland,41.8967068,12.4822025,Pigna
65,IT,ROM,Bottega Svedese IKEA,41.8967068,12.4822025,Pigna
67,IT,ROM,Wrap Bubbles,41.8967068,12.4822025,Pigna
68,IT,ROM,StuPisci,41.8967068,12.4822025,Pigna
70,IT,ROM,Bombolone @ DolceVita,41.9006358,12.4801556,Colonna
81,IT,ROM,Burrito’s Way,41.8967068,12.4822025,Pigna
87,IT,ROM,Casa & Bottega,41.9005349,12.4696666,Ponte
91,IT,ROM,Old Wild West,41.8967068,12.4822025,Pigna
96,IT,ROM,LM Frutta,41.9029722,12.4872246,Trevi
100,IT,ROM,Cioccolatitaliani,41.9000476,12.501456,Esquilino
101,IT,ROM,Holy pokè,41.8967068,12.4822025,Pigna
108,IT,ROM,Mi'Ndujo,41.8967068,12.4822025,Pigna
113,IT,ROM,Avocado Bar Roma,41.8938729,12.488272,Monti
116,IT,ROM,Carnal by Roy Caceres,41.8967068,12.4822025,Pigna
117,IT,ROM,La Fraschetta di Castel Sant’Angelo,41.90012540000001,12.4667988,Ponte
118,IT,ROM,Pasta e Vino Come Na Vorta,41.8906983,12.4692916,Trastevere
138,IT,ROM,Ben & Jerry's - Gelato,41.8967068,12.4822025,Pigna
143,IT,ROM,La tonneria,41.8908154,12.4685058,Trastevere
147,IT,ROM,Gustoso Vegano,41.9008195,12.4730601,Ponte
152,IT,ROM,Wok to Walk,41.8957487,12.472348,Parione
153,IT,ROM,Cucina del Teatro,41.900435,12.469465,Ponte
157,IT,ROM,T-Bone Station,41.8967068,12.4822025,Pigna
159,IT,ROM,Smokery by Roadhouse,41.8967068,12.4822025,Pigna
162,IT,ROM,Gelateria Carte D'Or,41.8967068,12.4822025,Pigna
173,IT,ROM,Color pokè & salad,41.8967068,12.4822025,Pigna
177,IT,ROM,Eden Delicatese,41.8967068,12.4822025,Pigna
178,IT,ROM,Breakfast on Delivery,41.8967068,12.4822025,Pigna
184,IT,ROM, La Miglior Colomba di Milano - DolceVita by Vergani,41.8967068,12.4822025,Pigna
185,IT,ROM,Maoli'- La Boutique Dei Sapori,41.8967068,12.4822025,Pigna
187,IT,ROM,Birreria Lapsutinna,41.8967068,12.4822025,Pigna
190,IT,ROM,Amare Fish and Go,41.8967068,12.4822025,Pigna
191,IT,ROM,Himalaya's Kashmir,41.8944701,12.5073302,Esquilino
193,IT,ROM,Ham Holy Burger - Termini,41.9012873,12.5015756,Esquilino
195,IT,ROM,Beverly Hills Burger,41.9045889,12.5044974,Castro Pretorio
196,IT,ROM,Colazione @ Dolce Vita,41.8997079,12.473359,Parione
199,IT,ROM,La Topaia,41.8967068,12.4822025,Pigna
200,IT,ROM,Da Camelia,41.8967068,12.4822025,Pigna
203,IT,ROM,Da Carmela - Pasta fatta a mano,41.8967068,12.4822025,Pigna
207,IT,ROM,Trapizzino,41.8967068,12.4822025,Pigna
209,IT,ROM,Pokè By Daruma,41.8967068,12.4822025,Pigna
214,IT,ROM,Birre dal Futuro,41.8967068,12.4822025,Pigna
217,IT,ROM,Gelateria La Romana,41.8967068,12.4822025,Pigna
218,IT,ROM,Obicà Mozzarella Bar - Parlamento,41.9022945,12.4761371,Campo Marzio
228,IT,ROM,Dolce Green,41.90312369999999,12.4819733,Colonna
231,IT,ROM,Arriba - Mexican Grill,41.9045889,12.5044974,Castro Pretorio
232,IT,ROM,Mine,41.8967068,12.4822025,Pigna
233,IT,ROM,Magnum Pleasure @ Home,41.9004978,12.483739,Trevi
235,IT,ROM,Mavi,41.8967068,12.4822025,Pigna
236,IT,ROM,Martinucci Laboratory,41.900394,12.5014121,Esquilino
241,IT,ROM,Fantasie di Gola,41.8967068,12.4822025,Pigna
244,IT,ROM,Porto-Fish & Chips,41.8967068,12.4822025,Pigna
252,IT,ROM,Casa Ciambella,41.8967774,12.4769384,Pigna
255,IT,ROM,Cornetto - Gelato,41.8967068,12.4822025,Pigna
257,IT,ROM,Queen Bowls & Salads,41.8967068,12.4822025,Pigna
260,IT,ROM,Gino Sorbillo Lievito Madre,41.8984164,12.5041733,Esquilino
262,IT,ROM,Betty's Burger,41.8967068,12.4822025,Pigna
263,IT,ROM,Market,41.8967068,12.4822025,Pigna
264,IT,ROM,Poke House,41.8967068,12.4822025,Pigna
265,IT,ROM,Crema e Cioccolato,41.8967068,12.4822025,Pigna
271,IT,ROM,Forno Fagiani,41.9028778,12.5055105,Castro Pretorio
274,IT,ROM,Sweet Dreams,41.892809,12.505638,Esquilino
275,IT,ROM,Domino's pizza,41.8967068,12.4822025,Pigna
276,IT,ROM,Pokè by Daruma - Kosher,41.8928804,12.4779763,Sant'Angelo
278,IT,ROM,KFC,41.8967068,12.4822025,Pigna
279,IT,ROM,Box 19 BBQ Grill - Burgers & Baguettes,41.8967068,12.4822025,Pigna
285,IT,ROM,Pomodorum,41.89631929999999,12.4947581,Monti
287,IT,ROM,Festa Vino e Snack,41.8938307,12.4894858,Monti
288,IT,ROM,Pizzeria Al Baraka halal,41.8967068,12.4822025,Pigna
290,IT,ROM,Pizza Pig,41.9039171,12.5005513,Castro Pretorio
291,IT,ROM,Sandwiches & Bowls by 12oz Coffee Joint,41.901424,12.502325,Esquilino
292,IT,ROM,OiSushi,41.8968582,12.4733613,Parione
296,IT,ROM,Donut e Pancakes,41.8967068,12.4822025,Pigna
298,IT,ROM,Burromaki Roll by Food Prime,41.8967068,12.4822025,Pigna
301,IT,ROM,12oz Coffee Joint,41.901424,12.502325,Esquilino
302,IT,ROM,Häagen-Dazs,41.8967068,12.4822025,Pigna
303,IT,ROM,Temakinho,41.8967068,12.4822025,Pigna
304,IT,ROM,Rainbow Poke,41.8967068,12.4822025,Pigna
305,IT,ROM,Il Convivio Troiani,41.901561,12.472707,Ponte
306,IT,ROM,Pokerì,41.8967068,12.4822025,Pigna
310,IT,ROM,GROM Express - Gelato,41.8967068,12.4822025,Pigna
311,IT,ROM,PaninoLand,41.8967068,12.4822025,Pigna
318,IT,ROM,Volpe Pasini - Bistrò Italiano,41.8917334,12.4929905,Monti
321,IT,ROM,al42 by Pasta Chef,41.894807,12.4897611,Monti
322,IT,ROM,Burger King®,41.8967068,12.4822025,Pigna
323,IT,ROM,GROM,41.8967068,12.4822025,Pigna
327,IT,ROM,HODDIE HOT DOG,41.8967068,12.4822025,Pigna
336,IT,ROM,Top Pizza,41.8967068,12.4822025,Pigna
338,IT,ROM,Bendito Burrito,41.8967068,12.4822025,Pigna
346,IT,ROM,La Biga,41.8914901,12.4925557,Monti
347,IT,ROM,Er Tegame,41.8967068,12.4822025,Pigna
348,IT,ROM,SfizioLand,41.8967068,12.4822025,Pigna
352,IT,ROM,Vip Very Italian Pizza Roma,41.8971078,12.4721769,Parione
355,IT,ROM,Rossopomodoro,41.8967068,12.4822025,Pigna
359,IT,ROM,La parannanza,41.8967068,12.4822025,Pigna
362,IT,ROM,Ready to Drink,41.8967068,12.4822025,Pigna
364,IT,ROM,Rec 23,41.8919704,12.469326,Trastevere
365,IT,ROM,Euro pizza,41.8967068,12.4822025,Pigna
368,IT,ROM,Baffetto 2,41.8960331,12.4719915,Parione
369,IT,ROM,I Burgeroni,41.8967068,12.4822025,Pigna
375,IT,ROM,Crock ‘n Rolls - Street Food,41.8967068,12.4822025,Pigna
376,IT,ROM,Ristorante e Bistro Svedese IKEA,41.8967068,12.4822025,Pigna
381,IT,ROM,Hostaria Luce,41.8971542,12.4690719,Regola
382,IT,ROM,Calavera Mex - Burrito y Tacos,41.8967068,12.4822025,Pigna
384,IT,ROM,Babasucco,41.8967068,12.4822025,Pigna
385,IT,ROM,Tasty Friendly,41.8967068,12.4822025,Pigna
388,IT,ROM,Bada la piada by Food Prime,41.8967068,12.4822025,Pigna
398,IT,ROM,Miss Sushi,41.8967068,12.4822025,Pigna
401,IT,ROM,La Romana Pizzeria,41.8992426,12.4689835,Ponte
405,IT,ROM,Venchi Gelato & Cioccolato,41.9001204,12.4806874,Colonna
413,IT,ROM,Giulia Kosher,41.8967068,12.4822025,Pigna
421,IT,ROM,Potpourri,41.8967068,12.4822025,Pigna
422,IT,ROM,Farini 32,41.8983636,12.4996704,Castro Pretorio
426,IT,ROM,Mangianapoli,41.8967068,12.4822025,Pigna
432,IT,ROM,La Piadineria,41.8967068,12.4822025,Pigna
433,IT,ROM,Al trapezio 2,41.8967068,12.4822025,Pigna
436,IT,ROM,La Cannoleria Siciliana,41.8967068,12.4822025,Pigna
437,IT,ROM,Magnum - Gelato,41.8967068,12.4822025,Pigna
445,IT,ROM,Pasta in Corso,41.8988102,12.4676379,Ponte
